paper_id,cluster_id
W2205290124,0
W3134843574,1
W2055492845,1
W2576489192,1
W2336589871,1
W2144531167,1
W204053250,1
W1666447063,1
W2123442489,1
W2964241181,1
W2783573276,1
W2609037894,1
W2799162093,1
W1988317275,1
W2295475768,1
W2963467339,1
W3035713416,1
W2962834855,1
W2760103357,1
W2716916105,1
W2145546283,1
W3035517615,1
W2499696929,1
W2129860818,1
W1935685005,1
W1574818812,1
W2948058585,1
W4366003124,1
W2963413689,1
W2040424159,1
W4290716979,1
W3045674654,1
W3010300896,1
W4385271281,1
W2555182955,1
W2579747565,1
W2006903949,1
W4312805142,1
W3023071679,1
W2778523960,1
W2963599420,1
W3180034634,1
W2015861736,1
W4312044727,1
W2896348597,1
W2603351312,1
W2059268928,1
W3168463823,1
W2017695267,1
W2557465155,1
W2005286252,1
W2126448884,1
W4385383529,1
W3089028909,1
W2063784584,1
W2337429362,1
W2979997102,1
W2146566773,1
W2141282920,1
W2168804568,1
W2415469094,1
W2970771982,1
W1976948919,1
W1976526581,1
W2162415752,1
W2098597588,1
W2147238549,1
W2796426482,1
W2786577118,1
W2075456404,1
W2095345875,1
W2599547527,1
W4297733535,1
W2115755118,1
W2327088997,1
W2147278565,1
W2594690981,1
W3152804902,1
W2982108874,1
W2964067969,1
W2331143823,1
W2963794891,1
W2953127211,1
W2743289088,1
W1993120651,1
W2417429787,1
W2558834163,1
W4392203343,1
W2963539064,1
W2962903125,1
W2086699924,1
W2157665255,1
W2981087920,1
W2009071067,1
W2963097937,1
W2964199361,1
W2108598243,1
W2945976633,1
W2252215182,1
W2022508996,1
W2753160622,1
W2560103205,1
W4327785494,1
W2896075375,1
W2474575620,1
W2126574503,1
W2884460600,1
W4389359039,1
W2804860796,1
W2524140598,1
W2621121458,1
W1593271688,1
W1998042868,1
W3159890710,1
W2755577605,1
W2170393096,1
W2125238156,1
W2050204708,1
W2163929346,1
W2093191240,1
W3175294391,1
W2963789515,1
W3108202858,1
W3015735225,1
W2998388430,1
W2998496395,1
W3128634608,1
W2036718463,1
W2179042386,1
W1897761818,1
W2156935079,1
W2139427956,1
W2293078015,1
W2997785591,1
W2079735306,1
W1857884451,1
W3090117266,1
W2784050770,1
W2963049059,1
W2052311585,1
W2120480077,1
W3000965188,1
W146395692,1
W4316469706,1
W2252136820,1
W2244684328,1
W2604319603,1
W3034949383,1
W2144794286,1
W2607223307,1
W2584429674,1
W2791091755,1
W2625457103,1
W2145072179,1
W752888290,1
W2950339735,1
W2970119293,1
W3035653890,1
W3122173535,1
W3198659451,1
W2128554449,1
W2100969003,1
W2104167780,1
