paper_id,cluster_id
W2250539671,11
W2963341956,11
W2965373594,11
W4292779060,11
W1832693441,11
W2493916176,11
W1978394996,11
W2970641574,11
W4288089799,11
W2154851992,11
W2979826702,11
W2251939518,11
W2963748441,11
W2174706414,11
W2470673105,11
W2296283641,11
W3133702157,11
W2996428491,11
W168564468,11
W2606974598,11
W2923014074,11
W2120615054,11
W3185341429,11
W2096765155,11
W2964110616,11
W1662133657,11
W2970771982,11
W2884001105,11
W2093390569,11
W2933138175,11
W2046515274,11
W4309674289,11
W3156636935,11
W2265846598,11
W4384071683,11
W2100935296,11
W2117805756,11
W2963929190,11
W4327810158,11
W2102858622,11
W2963323070,11
W3098605233,11
W2136189984,11
W1533230146,11
W2151834591,11
W2120779048,11
W2038043464,11
W2963206148,11
W2517194566,11
W1512387364,11
W2561529111,11
W2158139315,11
W1970381522,11
W2159426623,11
W2962946486,11
W2082385556,11
W2912924812,11
W1981617416,11
W3177500196,11
W2971296908,11
W2787560479,11
W4391136507,11
W3046375318,11
W2962686197,11
W2970476646,11
W2127426251,11
W2130158090,11
W3176923149,11
W2171928131,11
W2125031621,11
W2110693578,11
W1663984431,11
W2952087486,11
W2016089260,11
W4287824654,11
W2252136820,11
W2970419734,11
W2016753842,11
W2747680751,11
W2171278097,11
W3105966348,11
W2004763266,11
W2169213601,11
W2080100102,11
W2041616772,11
W3169483174,11
W2963716420,11
W2250521169,11
W3011574394,11
W2120354757,11
W2962985038,11
W2011161709,11
W2889787757,11
W2251803266,11
W2413794162,11
W3011594683,11
W1753482797,11
W3037109418,11
W1615991656,11
W3156333129,11
W1889268436,11
W2951534261,11
W2980708516,11
W2963969878,11
W1979459060,11
W2070246124,11
W2964167098,11
W2130339025,11
W2037858832,11
W2982399380,11
W2946417913,11
W2891177506,11
W1972594981,11
W2153848201,11
W1566018662,11
W4367595583,11
W3173777717,11
W2608787653,11
W1854884267,11
W2023261118,11
W196214544,11
W2948947170,11
W2141099517,11
W2963825865,11
W1984251878,11
W2888482885,11
W2171343266,11
W131533222,11
W2164019165,11
W1714665356,11
W2515462165,11
W2042980227,11
W2963096510,11
W3098267758,11
W2971196067,11
W2752172973,11
W2104210067,11
W2080558111,11
W2251771443,11
W2148374900,11
W2267186426,11
W2963167310,11
W1753361524,11
W2963854351,11
W2988937804,11
W4320495408,11
W4246858749,11
W2880875857,11
W2088622183,11
W2028140375,11
W2250184916,11
W1984052055,11
W2952370363,11
W4382246105,11
W1989415743,11
W2952138241,11
W2606964149,11
W4388979610,11
W3035725276,11
W3122890974,11
W2211192759,11
W2250999640,11
W2963266340,11
W2891555348,11
W2600702321,11
W4229005866,11
W3021397474,11
W2963083845,11
W2951286828,11
W2963903950,11
W2963970792,11
W2170682101,11
W4240913316,11
W3144293453,11
W2144100511,11
W3198659451,11
W1967082914,11
W1536274117,11
W2251818205,11
W2962904552,11
W2536015822,11
W3034723486,11
W2121184547,11
W2785349534,11
W2167435923,11
W2950339735,11
W4297253404,11
W2103305545,11
W3085139254,11
W2740721704,11
W1518951372,11
W2170014483,11
W2971258845,11
W1964348731,11
W2171313960,11
W2251079237,11
W2963921497,11
W2041441429,11
W2606089314,11
W2549835527,11
W2581637843,11
W4404534210,11
W2250635077,11
W2111362445,11
W2911227954,11
W1966443646,11
W2089150068,11
W2307381258,11
W2127289991,11
W2161443453,11
W2158823144,11
W3042185737,11
W2078294512,11
W2250473257,11
W4402061574,11
W2962796276,11
W1980776243,11
W2147946282,11
W2973088264,11
W189259891,11
W2557764419,11
W2604799547,11
W2998385486,11
W2317879529,11
W2740747242,11
W2808142148,11
W2123512824,11
W2121029939,11
W2889518897,11
W2251913848,11
W2962717182,11
W4384662964,11
W1843891098,11
W2963974889,11
W2005181355,11
W4287391717,11
W2516621648,11
W2605035112,11
W2186845332,11
W4312220150,11
W2131876387,11
W2890431379,11
W2888302696,11
W2251861449,11
W2593833795,11
W4311642023,11
W1965693266,11
W68132019,11
W2963248296,11
W2964217331,11
W2049434052,11
W2125436846,11
W2137607259,11
W2165107985,11
W2475245295,11
W2079168273,11
W4210984920,11
W2970986510,11
W2128870637,11
W4322766882,11
W4385988359,11
W4285247752,11
W1894439495,11
W4390692489,11
W2144933361,11
W2250189634,11
W2962717047,11
W2744909235,11
W2946359678,11
W2158188757,11
W2106490775,11
W2029249040,11
W2962985882,11
W2081056190,11
W2963718112,11
W3102927640,11
W4387321091,11
W2963777632,11
W2996403597,11
W3081168214,11
W2123661878,11
W3035625205,11
W3034457371,11
W2525127255,11
W2142920810,11
W3031696893,11
W3190730109,11
W1852412531,11
W2120084270,11
W2911109671,11
W1989574962,11
W2109154616,11
W2946609015,11
W2084377579,11
W1426956448,11
W2962897020,11
W2964204621,11
W2104246439,11
W2218641061,11
W2396767181,11
W2194775991,0
W2163605009,0
W639708223,0
W2097117768,0
W2963446712,0
W1861492603,0
W1903029394,0
W2102605133,0
W2183341477,0
W2963150697,0
W2565639579,0
W1536680647,0
W3138516171,0
W2752782242,0
W2963351448,0
W2963163009,0
W2412782625,0
W2884585870,0
W2570343428,0
W1677182931,0
W2964309882,0
W2155893237,0
W2954996726,0
W2109255472,0
W2395611524,0
W2168356304,0
W2302255633,0
W4386076325,0
W2884561390,0
W2963125010,0
W2963857746,0
W2884436604,0
W3034971973,0
W2464708700,0
W3034552520,0
W4390874575,0
W3140854437,0
W2955058313,0
W2601564443,0
W2402144811,0
W2964241181,0
W2953106684,0
W2883780447,0
W2962949934,0
W2964137095,0
W4312443924,0
W2982770724,0
W2946948417,0
W3177052299,0
W2113137767,0
W3042011474,0
W1787224781,0
W2992308087,0
W2963727135,0
W3131500599,0
W3168997536,0
W3014641072,0
W2300242332,0
W1745334888,0
W2789876780,0
W3035414587,0
W2141125852,0
W2997747012,0
W2604319603,0
W2963495494,0
W2996290406,0
W2211722331,0
W2149933564,0
W3012573144,0
W2301358467,0
W3170841864,0
W2555618208,0
W1483870316,0
W1932198206,0
W2989604896,0
W2138011018,0
W2806070179,0
W2101309634,0
W2563705555,0
W2179352600,0
W2963173190,0
W845365781,0
W2289252105,0
W2737258237,0
W2897529137,0
W2168231600,0
W3034368386,0
W3146366485,0
W2183182206,0
W2922509574,0
W4321232185,0
W2981689412,0
W2998508940,0
W3035172746,0
W2988916019,0
W2557728737,0
W2886934227,0
W2963677766,0
W2949736877,0
W2310992461,0
W1963882359,0
W2953070460,0
W2962851801,0
W2963363373,0
W2118858186,0
W4403770406,0
W4320002812,0
W2966926453,0
W3015788359,0
W2176950688,0
W2734349601,0
W3100777112,0
W2964227007,0
W2963691377,0
W2796438033,0
W2910121883,0
W2962843773,0
W3035160371,0
W4210598935,0
W3167976421,0
W4402754006,0
W3035396860,0
W2285660444,0
W3035564946,0
W4388823657,0
W2963821229,0
W2964233199,0
W4919037,0
W2592939477,0
W3210586215,0
W2889985731,0
W4312349930,0
W3175515048,0
W2487365028,0
W2331143823,0
W2888358068,0
W3007268491,0
W2559597482,0
W2962850830,0
W3151130473,0
W2598666589,0
W2963604034,0
W4386047745,0
W3167095230,0
W2963786238,0
W2962721361,0
W2490270993,0
W2989676862,0
W3122173535,0
W2963400571,0
W1948751323,0
W2799213142,0
W3180134609,0
W1910657905,0
W1565402342,0
W2964115968,0
W2964217532,0
W2599765304,0
W2507296351,0
W2963323244,0
W2964080601,0
W1523493493,0
W1932847118,0
W2504335775,0
W2963855133,0
W2048266589,0
W2963727650,0
W2962891704,0
W4288083516,0
W2737725206,0
W2125215748,0
W2762439315,0
W2804860796,0
W3196904463,0
W2963849369,0
W2964979676,0
W2735039185,0
W2152839228,0
W3145450063,0
W2910628332,0
W2288122362,0
W3172752666,0
W2798965597,0
W2216125271,0
W2967733054,0
W4293406525,0
W3194790201,0
W2233116163,0
W2276486856,0
W2886851211,0
W2895340641,0
W2972006294,0
W3008115128,0
W2148461049,0
W2130306094,0
W2442974303,0
W2928560789,0
W4372347372,0
W3016719260,0
W3034421924,0
W2560544142,0
W4226334005,0
W56385144,0
W2068730032,0
W4291819654,0
W2768282280,0
W1996901117,0
W2555182955,0
W3003437478,0
W1507506748,0
W2294819727,0
W3145444543,0
W2886335102,0
W2337429362,0
W2948672349,0
W2962677625,0
