paper_id,cluster_id
W2138522501,1
W2083828239,1
W2002004285,1
W2031561542,1
W2157699746,1
W1977225481,1
W1977749755,1
W2058031585,1
W1997072900,1
W2010566952,1
W1985666305,1
W1964358899,1
W1985957692,1
W2079452226,1
W2031894158,1
W2047567126,1
W1968287156,1
W2095203624,1
W2004872704,1
W2139737137,1
W2025037750,1
W1987907556,1
W1976788350,1
W2066335781,1
W2106510869,1
W2019890340,1
W2120027408,1
W2093947186,1
W2139696801,1
W2042690496,1
W2044550173,1
W2003142147,1
W2316199347,1
W2005354462,1
W2074796624,1
W2102808097,1
W2090194751,1
W2001959700,1
W2036920064,1
W2082065562,1
W2011542776,1
W2031483423,1
W2034632918,1
W2039100744,1
W2045684026,1
W1973686819,1
W2009446672,1
W1965337410,1
W2060703165,1
W2079994847,1
W2040225535,1
W1997722926,1
W2050130236,1
W2089400816,1
W2053587102,1
W2314378019,1
W2082832653,1
W2087930469,1
W1970621049,1
W1979529097,1
W2048457570,1
W2159587647,1
W2006318126,1
W1626854854,1
W2142021743,1
W2951239498,1
W2110540540,1
W614257483,1
W2150399639,1
W2010818471,1
W2011583808,1
W2098532708,1
W2067232009,1
W2030515856,1
W2026385684,1
W2011408137,1
W2164593579,1
W1986145408,1
W2011187807,1
W2026466565,1
W2131415600,1
W2078534392,1
W2009274552,1
W2043217416,1
W2090373539,1
W2167035995,1
W2084922494,1
W2090107438,2
W1964341563,1
W1969913313,1
W2072705563,1
W2011159821,1
W1996207222,1
W2069988560,1
W1997216543,1
W2063802147,1
W1775183869,1
W212332167,1
W2080552958,1
W2170254512,1
W2573377826,2
W1973891115,1
W1987933164,1
W2074207002,1
W1952901979,1
W2061367556,1
W2022714449,1
W2060745946,1
W2074527904,1
W1985938896,1
W1649557601,1
W2080386657,1
W2059835590,1
W1982677496,1
W2225719359,1
W2133795748,1
W2082361355,1
W1974896731,1
W1981539053,1
W2075528836,1
W2043775186,1
W1996162207,1
W1970814724,1
W2086270926,1
W2220596051,1
W2139088889,1
W2010924650,1
W1991925192,1
W2120703005,1
W2087072090,1
W2004026087,1
W2073086715,1
W2114572722,1
W2167228022,1
W2119081488,1
W2137693261,1
W2334952434,1
W1936083295,1
W2050104692,1
W2125678704,1
W1977466903,1
W1894159837,1
W2023000714,1
W2140789423,1
W2137129788,1
W2065124355,1
W2040634925,1
W2253268763,1
W2073667727,1
W2315608244,1
W2105081100,1
W1964327391,1
W2028233058,1
W2105982022,1
W2143028594,1
W2160248419,1
W1709107675,1
W1976830415,1
W2034131461,1
W1964022307,1
W2157471592,1
W2004761694,1
W2165571442,1
W2316610382,1
W2053733819,1
W2072726072,1
W2327143944,1
W2303330750,1
W2115729799,1
W2068035701,1
W2126954122,1
W2332015053,1
W1966942617,1
W2329632882,1
W1035588523,1
W2073872893,1
W1483851170,1
W2143025000,1
W1982153238,1
W2133406747,1
W2327407532,1
W2312362393,1
W1757224988,1
W1971022022,1
W2015124676,1
W2129112197,1
W2167509554,1
W2114291507,1
W2514157351,1
W1999912925,1
W2011685920,1
W2076447899,1
W2323275360,1
W2343363309,1
W2146278879,1
W2332199196,1
W2020893927,1
W2120456504,1
W2076968595,1
W1859714531,1
W2302970633,1
W2009901571,1
W2141151138,1
W4254736414,1
W2099073690,1
W1975598154,1
W2103003278,1
W1968780924,1
W2083000304,1
W2030948171,1
W2039527261,1
W2087207644,1
W2121180786,1
W2080475618,1
W2034311877,1
W3023435578,1
W1976036245,1
W2092839290,1
W2096243922,1
W2020238455,1
W1982195765,1
W2165883042,1
W2006572931,1
W2167642548,1
W2099314167,1
W2058304194,1
W1784245134,1
W2060142904,1
W1489957084,1
W1985786341,1
W2073116686,1
W1527320979,1
W2152510783,1
W1989409721,1
W2069723937,1
W1539138126,1
W2206090555,1
W2054500995,1
W2025884482,1
W1785442443,1
W2041406764,1
W2008305658,1
W1968075514,1
W2124043346,1
W2134603517,1
W2019903682,1
W2053332809,1
W2035205905,1
W1990520353,1
W2009994680,1
W4255219034,1
W2091633783,2
W2043603339,1
W2120235566,1
W4248309453,1
W2156672784,1
W1999848155,1
W1999585534,1
W2090450282,1
W2024195788,1
W1999138898,1
W1970026245,1
W2104697120,1
W2137994396,1
W2080471040,1
W1995530191,1
W2127562318,1
W2139248268,1
W1971388159,1
W2000180387,1
W1969921303,1
W2158148345,1
W2080566262,1
W2312984851,1
W1976057966,1
W2015674937,1
W2018533619,1
W130203631,1
W1978932009,1
W2952328609,1
W2032457137,1
W2952726272,1
W2053917881,1
W312464463,1
W1979103628,1
W2039664938,1
W2084174257,1
W1967226352,1
W2161763022,1
W1966271113,1
W2071951719,1
W1650767239,1
W2073655447,1
W2078232450,1
W2059792142,1
W2146050562,1
W2087403034,1
W2083539657,1
W2034888609,1
W2022256605,1
W2089789830,1
W2139684798,1
W2136252497,1
W2026771631,1
W1966076042,1
W2084404906,1
W2154554816,1
W2007314820,1
W2018674492,1
W1970321188,1
W1972316224,1
W2075679427,1
W1971251713,1
W2069373185,1
W2019968289,1
W2089509524,1
W2133581890,1
W2520499112,1
W2088992621,1
W2091298370,4
W2059482593,4
W1974600865,4
W2043016360,4
W1965575067,4
W2098712681,4
W2113244504,4
W2005015143,4
W2075298376,5
W1969111467,5
W2030217248,4
W169010525,4
W2073819472,5
W2084936191,5
W2157941783,5
W2029955177,5
W2128525212,5
W1965296958,5
W2017005000,5
W2065277000,5
W1985776665,5
W2038699601,5
W2038058142,5
W1974700810,5
W1973409936,5
W2115575384,5
W2022545034,5
W631638886,5
W1590681844,5
W1531643369,5
W1999924690,5
W2000746384,5
W2092667084,5
W2070940534,5
W1984210117,5
W2057366298,5
W2018198967,4
W2015218318,5
W2014567053,4
W2321233113,4
W1964116684,4
W1641734429,5
W2064138840,5
W1976368460,5
W2013682255,5
W1965351011,5
W2061161672,4
W4248656647,5
W2126248410,5
W2157392485,4
W1973496469,4
W2096729913,4
W2054410655,4
W2078732410,4
W1968645814,4
W2136923855,5
W2165473271,5
W1989550827,4
W2028817233,5
W2004444571,4
W2134232929,5
W2079073277,5
W2107084004,5
W2063290484,5
W1994076752,5
W1992470362,5
W2080912283,4
W2159832088,4
W2047899760,6
W2100500003,6
W2068270184,4
W2072679163,4
W1996952258,4
W113995450,5
W2084579279,0
W2046020892,0
W2023602179,0
W2009992333,0
W1973198844,0
W2016164126,0
W2162752418,0
W2115764093,0
W2013878295,0
W2054294703,0
W2163874251,0
W2134339307,0
W1513231985,0
W639794298,0
W1799003920,0
W2039475059,0
W2013737445,0
W2080255921,0
W230575688,0
W2154758493,0
W2128215214,0
W2023274924,0
W2049140010,0
W2091140863,0
W2089900909,0
W2164161804,0
W1985531057,0
W2012721500,0
W2121958253,0
W2089069130,0
W2126457457,0
W2001482535,0
W2032849022,0
W2029168267,0
W1986794305,0
W2031793983,0
W2026128474,0
W2163075746,0
W1997098789,0
W2030235735,0
W2126974786,0
W1978717776,0
W2039478013,0
W2265459555,0
W2035191472,0
W2072150229,0
W2015645229,0
W2013878523,0
W2077876099,0
W1991495192,0
W2097634899,0
W2312601592,0
W2054644674,0
W2038438806,0
W2131646136,0
W1996867903,0
W2021245485,0
W2045732970,0
W1992222842,0
W2006889330,0
W2328926099,0
W2006290544,0
W2030187248,0
W1895261224,0
W9327801,0
W1975821950,3
W2951601229,3
W1552660283,6
W1950332507,6
W2527928639,6
W2060182005,6
W1975380518,6
W2327262049,6
W171106816,6
W1982184260,6
W2124734280,6
W2046442571,6
W2061811558,6
W1995877677,6
W2083490448,6
W2064323790,6
W1981694110,6
W2038479915,6
W2949605747,6
W2525722724,6
W2020808925,6
W2061430396,6
W2022060382,6
W1973667704,6
W2167356388,6
W2021856393,6
W2002159337,6
W2143996121,6
W1991837678,6
W2007598092,6
W2012134384,6
W1963741767,6
W2038258748,6
W2038131683,6
W2002473630,6
W2324374456,6
W1965076884,6
W2034306617,6
W1986088651,6
W2074444988,6
W2025555834,6
W2044865687,6
W1982830588,6
W2124621891,6
W2125944756,6
W2053014942,6
W2143092464,6
W2952759653,6
W2047085544,6
W1965797302,6
W2072512988,6
W2032428021,6
W2007342236,6
W2035831962,6
W1978505512,6
W2070042833,6
W2059109070,6
W2526793459,6
W2131816354,6
W1995753210,6
W2017673094,6
W1985067275,6
W2023966769,6
W2004407788,3
W2019371148,6
W1985810494,6
W2073162667,6
W2079877131,3
W2078610216,3
W1990986750,3
W2092225958,6
W2052800595,6
W2008429578,6
W2023109439,6
W2012283027,6
W4235024507,6
W2141848448,6
W2095111102,6
W2036900213,3
W2087725401,6
W1976899493,3
W2057831137,6
W2047252767,6
W1980519113,3
W2006292037,6
W2027259532,6
W2034859553,6
W2021083548,6
W2087856988,6
W2052933316,3
W2084158092,6
W2088231721,6
W2079965653,6
W1972844661,6
W1985171054,6
W1997598249,3
W1998937905,6
W1970025315,6
W1982605780,6
W2032469239,3
W2063225588,3
W2069953694,3
W2326845365,6
W2004189349,3
W2005066391,3
W2000612216,3
W2055369259,3
W2143211046,3
W1992771432,3
W2972799730,3
W2074389530,3
W2134647411,3
W2145924941,3
W2068302483,3
W2952135048,3
W2951370321,3
W1980116523,3
W2082455500,3
W2063180536,3
W2040225364,3
W2018984662,3
W2951234149,3
W2052774499,3
W2015088896,3
W2037674962,3
W2032963182,3
W1993943081,3
W2951893032,3
W2080795803,3
W1996410870,3
W1997087204,3
W2067857721,3
W2035179036,3
W2075307778,3
W2057812065,3
W2089254102,3
W1982827824,3
W2128163434,3
W1993040699,3
W2039945553,3
W2053843472,3
W2061707799,3
W2103049308,3
W2467447669,3
W1998486568,3
W2038628080,3
W2023188834,3
W2050799111,3
W2103745892,3
W2038408003,3
W2067168693,6
W2141801923,6
W4206078055,6
W2034786603,6
W2146687568,6
W2006481043,6
W2107118634,6
W1999531263,6
W1942153202,6
W2136090939,6
W2063176407,6
W2045406828,6
W4211135859,6
W2053962049,6
W1747045236,6
W2145725460,6
W2077457915,6
W2138883883,6
W2124958235,6
W2021986570,6
W2067438296,6
W2119105175,6
W2020177194,6
W2040578134,6
W2037304784,6
W1980012339,6
W1968796659,3
W1991537472,3
W2145761632,3
W2158905005,3
W1963757124,3
W2141972425,3
W2002717773,3
W1977355907,3
W2002284966,3
W2051658103,3
W2118271033,3
W2161679449,3
W163198,3
W2108394745,3
W2762086252,3
W2135214253,3
W2070363372,3
W1909880476,3
W2104726485,3
W1971113415,3
W2022982344,3
W2077941548,3
W2015173427,3
W2069814548,3
W38618506,3
W2127285734,3
W2039166499,3
W2082693870,3
W2042209259,3
W2026121529,3
W2010143785,6
W3004488104,6
W2054923042,3
W2039680643,3
W2039846004,3
W2053797554,3
W1974746615,3
W1969510287,3
W2161097836,3
W1982865561,3
W2167583671,6
W2005601457,3
W2102063088,3
W2033759072,6
W2047784703,3
W1970565936,3
W2133879494,6
W2042533968,6
W2052151364,6
W2042121416,0
W2060271138,6
W4235744808,3
W2048921737,3
W2037445100,3
W2058896474,3
W2013656967,3
W104968575,3
W2061376528,3
W2054981610,4
W2038829109,3
W2030029568,3
W2126548057,3
W2045153748,6
W2094143846,3
W2015260827,6
W2067004573,3
W2072234547,3
W2007767003,6
W2108971421,3
W2050926313,3
W2041176411,3
W2145191782,6
W2779329659,6
W2080494759,6
W2090450022,6
W2064496902,6
W1971762124,3
W2151869859,6
W2128867007,6
W2016190794,6
W1968754251,6
W2070104683,6
W1999448338,3
W2042803182,6
W1966934203,6
W2047879568,6
W2554295816,6
W2736841593,6
W2012671384,6
W2028480661,6
W2026475967,6
W105717235,6
W2112435406,6
W2167893737,6
W2033670340,6
W2065852943,6
W1888406953,6
W2061364087,6
