paper_id,cluster_id
W2756038645,261
W1978591382,262
W2290452516,263
W2096887879,50
W2165025360,78
W2276530525,106
W2135703887,128
W2133001582,4
W2093402979,4
W184758014,20
W2148839232,60
W1589362500,264
W2149720806,10
W2147088720,33
W4253925510,265
W2963087412,4
W1797873548,266
W2154123601,267
W2157342211,109
W2962902376,9
W2278298932,64
W1580944449,49
W2964337551,4
W2963975576,268
W2154418813,5
W2107384509,79
W1863270349,80
W2118664399,4
W3021395787,269
W2126574721,20
W2046245205,129
W1513168562,270
W2584886900,271
W2897120700,272
W1602918181,273
W2157689518,0
W1975175956,274
W4234580423,81
W2074594718,2
W2134953271,275
W2123564449,276
W2171331105,277
W2102632804,39
W1999657641,278
W2149464084,54
W1516637935,279
W2756659234,118
W2982509551,280
W2524620548,0
W1550768496,24
W2155028447,281
W2081037298,130
W4240438002,282
W2781658203,2
W4230587399,283
W2165510626,6
W1995841147,284
W2134510195,16
W2038420231,8
W2893443580,128
W2021123788,72
W2592299284,131
W2049119796,285
W1972679863,286
W2001685400,287
W3036016037,126
W3016010032,21
W2097780353,59
W2059285111,288
W1973414297,13
W2128906841,2
W2061398022,7
W2517394750,289
W2742157926,290
W3206973060,16
W2023155726,291
W51508254,292
W2779610669,9
W2165852544,293
W2139865360,86
W3094948551,1
W2080400971,21
W2166787100,294
W2005579877,0
W2131791946,6
W2171094068,13
W1526572160,17
W2049785083,0
W1990395546,24
W1483870316,3
W3011460294,8
W2963820951,295
W2118269922,49
W2571907764,296
W2511803001,12
W2119593119,120
W2152458990,33
W1977331952,136
W2104181254,82
W2145060720,28
W2122382648,119
W2113832486,19
W2085573882,1
W2038891881,4
W3039075121,297
W2100617218,17
W2120030930,6
W2041713059,8
W2097625976,298
W1489992655,0
W2963201933,299
W4200261490,108
W3111333805,300
W2739423245,301
W2123929269,132
W2037004467,302
W4300071243,303
W2147642262,304
W2153384885,224
W2810011639,305
W2573137292,8
W2126574503,5
W1993503482,0
W2168493061,18
W2086007337,83
W2041656211,190
W2063048719,306
W2046636826,82
W2074346829,1
W2110378855,307
W2120011452,1
W2079983098,16
W2047097182,19
W1987581799,2
W2001099600,308
W2048226872,9
W2159040314,309
W2157411165,310
W1983594442,311
W2790993440,312
W2162686919,84
W2086771214,14
W2044002869,133
W2133946027,31
W2065961934,313
W3048804154,1
W2783792814,314
W2080335539,315
W171373254,85
W4317796310,316
W2040374677,317
W2122402213,86
W2163292664,5
W3106741970,87
W1986979429,26
W3044853528,134
W3003265726,12
W2055204629,318
W2163929346,14
W2980856918,11
W1596951786,82
W2153596970,5
W2149874318,319
W2110862165,17
W2004492169,62
W1560055494,75
W1988543519,17
W2514190140,320
W204053250,21
W2883143154,321
W2028544857,76
W2159591770,21
W2088314245,322
W1979266466,5
W2048097029,15
W2169263924,18
W2003128389,98
W2597005596,323
W1552995248,324
W1969579437,325
W2121668868,33
W2612843093,326
W2242874043,327
W1998871422,18
W2168881191,328
W2963204406,11
W2010399676,5
W2895909303,329
W1991520109,69
W2123095296,24
W2093413764,330
W2164534115,331
W2069281566,10
W2180885055,14
W1494198834,21
W2123950369,105
W2111165162,135
W1973693867,332
W2153815796,45
W2623551786,23
W2095069785,20
W2903252781,35
W2075090033,53
W2125031621,42
W2076004681,0
W4235469158,136
W2048753011,333
W4238546739,334
W2156093990,335
W109452506,202
W2802043004,19
W1621799579,1
W2041350325,336
W2015555255,337
W2342472925,137
W2128860214,4
W2153169342,4
W2252057809,20
W2963282500,25
W2753386236,6
W2964138017,12
W2103581319,9
W2963134661,338
W2030144199,14
W1608481154,339
W1554398046,340
W2165092209,26
W2400528202,11
W2006112512,94
W2038619757,55
W2092942461,11
W2765200655,2
W150775819,341
W2097725665,138
W4235817903,342
W2972432684,2
W2061939373,65
W1969344535,2
W2107198105,36
W2139096963,23
W2025334706,210
W3104876774,343
W2493746814,344
W1595002505,345
W2000343728,44
W2892556724,87
W1985699615,346
W2149557440,12
W2966677374,347
W2949836779,1
W2149926189,68
W1568555283,113
W3036385388,240
W2081145547,43
W2155870214,348
W3130255873,349
W2002915275,350
W2033079808,351
W2141018272,197
W2962986791,9
W2106424823,88
W2143434511,352
W2142827986,0
W2085431509,6
W2063862666,42
W1980690490,353
W2098232769,24
W2097290407,354
W2150139634,355
W199176224,356
W2061700262,11
W1979308597,357
W2154756494,358
W2466060750,8
W2541557612,35
W4205686602,359
W3003651800,360
W3169203486,361
W2155713541,89
W1601068082,139
W1986570368,11
W2014889099,142
W2094727373,362
W2896236534,1
W1981154266,3
W2076611807,363
W1926428750,28
W1553725291,364
W1771326151,8
W2090818178,365
W2156077349,366
W1640745651,10
W2020470161,27
W2052167135,367
W1966931213,32
W2113028304,368
W2070412788,0
W2099867994,369
W2147310642,140
W2142876645,370
W4205767597,371
W2146176543,0
W2168720188,17
W1990005915,14
W2014482607,9
W2063476153,141
W2164962034,36
W2146031911,23
W1976969221,4
W3009465306,72
W181649851,372
W2126513753,373
W197262582,374
W2142803923,17
W1540550726,22
W2032865436,142
W2097074225,7
W2099934438,18
W2038194220,16
W2782613962,375
W2101651025,90
W2099044471,19
W4249468678,376
W2105157020,377
W4213150674,378
W2790843555,379
W4322008312,29
W2017146017,11
W2137760878,73
W2135964285,4
W2133286823,380
W1995903777,5
W2602440570,0
W3119587736,381
W2091420866,3
W1992360673,25
W2039057510,21
W2035741146,382
W2344607369,11
W2340398802,6
W2737019897,383
W2148056538,1
W2081526168,56
W2019966888,384
W2160154797,385
W2075402943,13
W1426956448,12
W2043878167,143
W2136354320,28
W1530679938,386
W2955419213,16
W2249121382,0
W2964076076,6
W2158069733,21
W1594453896,1
W1486199311,9
W3011067038,144
W1964077143,213
W2141382172,16
W2588239865,387
W2124479173,388
W1990322756,6
W2612764117,389
W2150766729,42
W2133066598,23
W2096166399,47
W2101984817,15
W1970871143,196
W2148461049,16
W2103334940,145
W1511843316,259
W2482293012,233
W2119251836,390
W2164638305,5
W2125360619,391
W2164067630,392
W2171724053,146
W2153351685,8
W3043750934,393
W2474516010,3
W2031849950,147
W2762561030,394
W2097452095,9
W1536360122,15
W2150440166,5
W2145959734,395
W2461158874,7
W2098424918,24
W1573526548,58
W3007769740,13
W2102234166,15
W2963043696,396
W2153178980,107
W4301516964,397
W2168290833,398
W1965648588,399
W2560178266,148
W3148160083,400
W3148186152,401
W2145415641,2
W1608836379,15
W191098608,402
W1550950318,403
W2884065486,404
W2105781905,24
W2163808566,4
W2291994988,19
W2177338808,405
W1964042213,406
W2163790854,149
W2163291889,0
W202954878,407
W2162568862,408
W4251257878,409
W2073214011,410
W2947280658,411
W2149322275,412
W2146316822,138
W2969792713,413
W1973697585,414
W1626834557,415
W4238732474,220
W2008749436,195
W1585486752,416
W2103496339,11
W2168175183,417
W3151306683,150
W2475334473,418
W2088492763,2
W2078951341,74
W2117699769,419
W2009172517,420
W2085138920,421
W2979689312,422
W2167614100,24
W2076127403,423
W2213611497,424
W2952464298,425
W2108630796,14
W2168069066,18
W2808706139,21
W2097359812,257
W2937693915,6
W2088049833,3
W4206031910,20
W2138933282,17
W2998993395,151
W2019125550,91
W1550405527,426
W2042033151,427
W3120740533,1
W2184993170,23
W2056435187,3
W2888290426,102
W4390874280,18
W2510520237,428
W1980880567,152
W4206918024,8
W2132515061,429
W2105347639,430
W2160538621,33
W1537033052,431
W2165745738,432
W1981031568,433
W2562122439,434
W2057099256,435
W2892845027,3
W2095576699,436
W2142145056,11
W4247710350,54
W2165837041,1
W2124475023,155
W3206921000,153
W2104560801,437
W2119168155,1
W2122703146,438
W2114863372,439
W2146461054,440
W2143908786,12
W2011112377,2
W1990939104,78
W2962754725,7
W2111405580,204
W2128149764,88
W2953669419,13
W2576444478,242
W2081980673,0
W2134927525,441
W2051539919,442
W2091432990,12
W2133741724,443
W4322775759,15
W1941659294,1
W2147507815,444
W2962950660,445
W2124334240,446
W159389675,168
W42203131,447
W1973437133,448
W2161819990,28
W2096547754,49
W2102560179,19
W3194745632,449
W2102027449,230
W2095976990,14
W2054901814,450
W2067948398,16
W1990729297,451
W2172287020,21
W2083045248,6
W2104800148,57
W1211014924,452
W2152883745,14
W2962988048,4
W3150048650,182
W2037177386,453
W2107327607,1
W2128133840,154
W2046150577,13
W2051533101,454
W2135658380,5
W4386076493,3
W2044445916,455
W4318035272,456
W328766226,87
W2998534896,457
W2108214308,458
W2069069851,212
W1992950539,459
W4298126436,13
W2146338950,8
W2129368140,460
W1973861090,127
W2549268194,461
W2137218219,462
W2088336913,18
W1480140759,463
W2478708596,6
W3015613093,6
W2135065661,117
W4300958603,464
W2012312630,465
W2079913403,2
W2025089570,466
W2097018403,22
W2088489410,56
W1925984292,467
W1977838479,16
W2007877577,16
W2123547142,0
W2963956198,6
W2997429269,5
W1496748331,468
W1976478698,92
W2055921164,9
W619004858,469
W2963648573,3
W2908064123,9
W2317879529,4
W2280985394,470
W1554451661,155
W2025148784,471
W2103981365,472
W2156960709,25
W3000745202,473
W2979481854,22
W3203630573,6
W2082471194,474
W2963616706,7
W2014831132,19
W2067191635,18
W2094484179,475
W2109212155,476
W2160289821,135
W1623168575,477
W2089115820,191
W2902455138,1
W1979393293,41
W2090767179,478
W2163171438,479
W2135653217,52
W2799345028,2
W2245843004,14
W2055447163,3
W2133559194,0
W2138661194,480
W2038584908,481
W1570060426,156
W2031317221,482
W3204616723,483
W1964117853,484
W2788070733,40
W2129965408,485
W2098741260,2
W1498066347,47
W2012197287,17
W2167489871,9
W2098873358,43
W2038779958,486
W2599547527,3
W2168359139,487
W3034584726,3
W2048024857,488
W2889529934,23
W2027361448,14
W2075937691,489
W2791170418,490
W2803662301,491
W2132983747,492
W2148726987,3
W2049695835,493
W2168405694,9
W2113085788,2
W2097883090,8
W2102953461,494
W3167514323,495
W1836718474,496
W2169351022,231
W3082150784,19
W1542162318,497
W1988455886,40
W2158550208,157
W2029041800,13
W2102184039,8
W2016602016,498
W1557523735,499
W4389437528,29
W2393319904,4
W2754665629,39
W2477385318,500
W1984187759,23
W2143642228,158
W2079369525,501
W2901534369,7
W2025478229,18
W4230715923,502
W2031827201,159
W1552314771,160
W2990768863,503
W1707172707,51
W2088379928,504
W2073146149,26
W608347107,505
W567773728,98
W2128204165,169
W2125188427,506
W2889024928,507
W2251818205,46
W92805021,508
W2034175424,32
W1496636779,161
W2336920772,509
W2172231696,11
W2161429633,510
W2104130981,2
W3049490572,137
W4378473491,29
W1966539012,203
W7682646,7
W2152423679,511
W2046451536,512
W2108364340,31
W3172710079,71
W1893133781,58
W2889452663,513
W2113350481,0
W613432223,514
W2128556371,515
W3036925570,47
W2740472038,19
W2015493872,54
W2064356272,14
W2155732497,15
W1837843568,18
W2963336057,6
W2138558362,516
W2143185749,8
W2035669276,517
W2034090215,18
W2288214779,125
W2078057720,518
W2076238075,35
W2749478475,519
W2120605154,162
W2052912429,520
W2294465279,91
W2168951033,521
W2024780670,522
W935072310,93
W3049287381,523
W1985347735,94
W35636098,524
W2054044780,525
W4234937017,526
W2171574281,258
W2150299862,527
W2053256259,528
W2294170611,11
W3034724715,7
W2912934387,1
W2129115514,529
W1590929875,530
W2119984902,0
W2733118110,531
W1996020380,532
W2170213261,163
W2078035571,533
W2148768866,534
W2091538045,535
W1600796577,164
W1965721320,536
W2016589492,12
W616339485,537
W240302486,15
W2151802865,4
W2148727560,538
W1503925285,13
W2807530277,539
W3038754372,11
W1574517835,540
W2140833774,541
W2172171145,542
W2620844046,11
W2529090470,543
W2398484989,11
W2104733512,544
W2125099770,545
W2139148100,18
W3210514413,10
W1586617399,546
W1517687210,30
W2099345216,81
W2082585693,25
W3110749958,68
W1557418999,43
W2134301016,547
W1972106757,548
W2963992782,16
W2083601800,549
W2147019420,550
W2153863240,188
W1749554492,0
W2094782892,551
W2132781907,17
W2151554678,8
W2164330553,552
W2122190623,5
W343945789,0
W2136175037,105
W3020687048,16
W1491576965,1
W2136806896,17
W1997060717,23
W4312594135,10
W2054903753,553
W2289218694,16
W2092116045,9
W2160072137,75
W2962974533,10
W2103751734,554
W2904730732,555
W2140242774,50
W3098605233,3
W2170653240,556
W1982146060,2
W2120041316,7
W2622621570,2
W2042084307,557
W1970319972,558
W2144275666,165
W1607105911,559
W2912435603,7
W2018762316,560
W68733909,12
W2160163723,9
W206440355,8
W2081671968,561
W1496923911,132
W1487664366,33
W2215643317,74
W2007687650,18
W2577404187,23
W2110361884,17
W4313310852,166
W1585861384,562
W2118828104,0
W3109496323,563
W4386075992,10
W2611104282,10
W2146839357,141
W2111204873,95
W2168905447,167
W1993318811,564
W2049495124,16
W2046778278,565
W1995148628,566
W2130019381,96
W2562433831,567
W4319301505,29
W2153233136,14
W2152694311,59
W2110026675,20
W2124617909,0
W1939652453,2
W2105524676,568
W2166111585,20
W2038339454,30
W2319085245,569
W2535707672,16
W1953793983,570
W2032511669,571
W2144951274,572
W3201909053,16
W2298224214,573
W2054562387,114
W1999885698,77
W2100175650,574
W3100646853,575
W1598952354,576
W2964217532,577
W1965351873,578
W2233021649,6
W1881860748,579
W2962749469,12
W2161307885,0
W3024942079,580
W2164351536,168
W1823976324,16
W4241716071,9
W2056399320,6
W1970011159,581
W1905774212,582
W2282861635,1
W222053410,583
W2123030512,584
W2883560233,39
W2552214786,15
W2902857081,31
W2609065314,88
W2412695664,585
W2121763550,586
W2130351941,37
W2149274049,11
W2765739766,16
W1991904270,587
W2109785846,17
W2734755249,12
W2011161709,249
W2170282111,588
W2765302304,9
W2124105024,589
W2100162598,169
W2061989622,1
W2913455019,75
W4377079715,3
W2014644972,0
W3120421331,22
W31924142,590
W2042997824,591
W1575558843,592
W2143309843,0
W2523717353,20
W2783301790,170
W4232411460,593
W3032766692,594
W4304694200,595
W1557790403,19
W2116648802,35
W2970606380,2
W3010809165,0
W179500209,596
W2083624955,3
W1985190062,110
W2101002859,61
W2151635674,118
W4206512547,597
W2558405088,171
W3013423977,27
W2248415020,73
W4288057765,3
W3103145119,65
W2140695747,1
W2051768896,14
W2069140227,598
W1990461339,599
W2124216931,17
W2607500032,4
W4313545395,157
W2162417293,14
W2035731507,600
W2130737558,26
W2262139624,601
W2044494469,17
W2112463456,602
W2033288247,603
W2798734012,172
W2884154111,13
W2031832897,79
W2899381463,2
W117491841,3
W1504813440,604
W2219874140,2
W1800365115,605
W1566965859,5
W2155106456,14
W1582350176,606
W1972436494,14
W2036520185,607
W2092170583,608
W2120391124,609
W1641379095,9
W2282743468,610
W2044502527,611
W1529355025,77
W2041398617,173
W2022934794,612
W2910165844,613
W2150692003,11
W2159498975,13
W2557593045,614
W2091131578,60
W2918408501,1
W2111465715,0
W2170180420,97
W2121156749,615
W2161466446,14
W2606697812,186
W2171708479,161
W2802105481,616
W2104026855,48
W2014981059,617
W1992147426,70
W2321847250,618
W2466424288,619
W1811355673,620
W2761645513,23
W2067953767,621
W2777342313,5
W2161637667,0
W2141696417,0
W2592416275,16
W2137960819,622
W2118988523,8
W2153885989,37
W2135879356,623
W4385416665,3
W1891842933,624
W4241096513,625
W154391266,626
W3001069493,1
W3041367927,18
W4213078871,627
W635338029,628
W1236321187,629
W2560647685,9
W2999211082,94
W2019904315,10
W2177274602,28
W1508466705,630
W2049400871,52
W2140207879,631
W3083804794,632
W1493144892,633
W2066727938,634
W2152683961,635
W2160441315,27
W2115792525,636
W2091695913,4
W3147967090,637
W2855469196,638
W1569757501,8
W2762439315,639
W1989354341,6
W2168986749,640
W2347146185,641
W2739757502,7
W2155416230,642
W2560533888,7
W2296441616,6
W2084025653,30
W2134795104,24
W2885256964,643
W1907293129,2
W2105406958,24
W2133258886,644
W2045012623,1
W3117951887,3
W1979005794,174
W4381304672,645
W1544072197,646
W2039189705,55
W2161415693,91
W2119057313,647
W2163181067,160
W2963306805,10
W2167677198,4
W3099862346,2
W2099855035,648
W2072088341,27
W2151906117,649
W1980567103,76
W2576246534,23
W27728773,10
W1970352604,7
W2132821178,6
W1509298722,2
W2158900125,51
W1538844189,6
W2038533573,70
W2152548630,4
W4220966162,22
W2179244919,32
W1982935918,650
W2132051999,1
W1557133539,651
W2020250474,652
W4255938980,653
W2091539440,654
W3003662786,5
W2171033594,1
W2018208713,655
W1965182037,656
W2030864601,175
W2120658941,60
W2158701325,140
W2133786537,657
W2912978522,228
W1798924124,658
W2031566357,35
W93179402,659
W3147708684,660
W4239025696,661
W2005852294,19
W1488413727,662
W2161730338,0
W2081977080,4
W3089248281,6
W2043492303,663
W3034601242,1
W2166056089,239
W150801922,664
W2749008552,665
W1965895350,1
W2146355519,666
W626395553,667
W1528789833,4
W1541795511,668
W2485276051,669
W2796301186,13
W2145679918,43
W3185256938,670
W2546302380,3
W2014428287,96
W2136123282,671
W3109639294,672
W1636210188,1
W2155479981,673
W2012012991,98
W1967274588,86
W2016433830,44
W2149985621,238
W2886499109,3
W2088114053,41
W2162124096,194
W2134684274,51
W1502101714,674
W3042392478,675
W2152949369,676
W2955177623,677
W1984010941,20
W2963929190,678
W2250489604,22
W2251433042,679
W2963782415,5
W2168835173,680
W2171211995,104
W146125889,1
W2036322673,681
W1559956479,8
W2043735323,30
W2150307013,176
W2987150909,7
W2134493171,682
W2400994325,683
W2158207287,28
W2328078142,14
W2159081551,75
W2366389387,13
W2040353241,69
W2889016530,1
W3196371845,2
W2149164687,684
W2093440027,685
W1985588167,165
W2809216229,10
W2065427498,27
W2049314312,686
W1964439345,687
W4234726042,2
W3146306708,18
